,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ultrabook,8,Mac_OS,1262.4,Other Intel Processor,1.2,Intel,256,0.27648
15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ultrabook,8,Mac_OS,1518.55,Intel Core i5,2.3,Intel,256,0.30796992481203
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Notebook,8,Windows_10,745.0,Intel Core i7,2.7,AMD,256,0.1329230769230769
17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ultrabook,16,Mac_OS,2858.0,Intel Core i7,2.9,AMD,512,0.3366233766233766
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Notebook,8,Linux/No_OS/Other_OS,499.0,Intel Core i3,2.4,Nvidia,0,0.1329230769230769
19,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ultrabook,8,Windows_10,979.0,Intel Core i5,1.6,Intel,128,0.1559097744360902
20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Netbook,2,Windows_10,191.9,Other Intel Processor,1.44,Intel,0,0.0904386206896551
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gaming,8,Windows_10,999.0,Intel Core i5,2.5,Nvidia,128,0.1329230769230769
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Notebook,4,Linux/No_OS/Other_OS,258.0,AMD Processor,1.5,AMD,0,0.0672492307692307
23,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2 in 1 Convertible,8,Windows_10,819.0,Intel Core i5,1.6,Intel,256,0.1559097744360902
